locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFJHKHAP_02206	CDS	540				hypothetical protein
IFJHKHAP_02207	CDS	690	pepE	3.4.13.21	COG3340	Peptidase E
IFJHKHAP_02208	CDS	1632				hypothetical protein
IFJHKHAP_02209	CDS	3684	metH	2.1.1.13	COG0646	Methionine synthase
IFJHKHAP_02210	CDS	825	iclR		COG1414	Transcriptional repressor IclR
IFJHKHAP_02211	CDS	435				hypothetical protein
IFJHKHAP_02212	CDS	1752	aceK	2.7.11.5	COG4579	Isocitrate dehydrogenase kinase/phosphatase
IFJHKHAP_02213	CDS	1305	aceA	4.1.3.1	COG2224	Isocitrate lyase
IFJHKHAP_02214	CDS	1602	aceB	2.3.3.9	COG2225	Malate synthase A
IFJHKHAP_02215	CDS	930	metAS	2.3.1.46	COG1897	Homoserine O-succinyltransferase
IFJHKHAP_02216	CDS	438	yjaB	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
IFJHKHAP_02217	CDS	852	murI	5.1.1.3	COG0796	Glutamate racemase
IFJHKHAP_02218	CDS	1845	btuB		COG4206	Vitamin B12 transporter BtuB
IFJHKHAP_02219	CDS	1101	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
IFJHKHAP_02220	CDS	360	yijD			Inner membrane protein YijD
IFJHKHAP_02221	CDS	636	fabR		COG1309	HTH-type transcriptional repressor FabR
IFJHKHAP_02222	CDS	1401	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
IFJHKHAP_02223	CDS	918	oxyR_3			Hydrogen peroxide-inducible genes activator
IFJHKHAP_02224	CDS	1377	argH	4.3.2.1	COG0165	Argininosuccinate lyase
IFJHKHAP_02225	CDS	777	argB	2.7.2.8	COG0548	Acetylglutamate kinase
IFJHKHAP_02226	CDS	1005	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
IFJHKHAP_02227	CDS	1152	argE	3.5.1.16	COG0624	Acetylornithine deacetylase
IFJHKHAP_02228	CDS	2652	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
IFJHKHAP_02229	CDS	1734	cptA	2.7.-.-	COG2194	Phosphoethanolamine transferase CptA
IFJHKHAP_02230	CDS	450				hypothetical protein
IFJHKHAP_02231	CDS	297	araC_1			Arabinose operon regulatory protein
IFJHKHAP_02232	CDS	354	frwD	2.7.1.202	COG1445	PTS system fructose-like EIIB component 3
IFJHKHAP_02233	CDS	879	bssD	1.97.1.-		Benzylsuccinate synthase activating enzyme
IFJHKHAP_02234	CDS	2298	cutC_2	4.3.99.4	COG1882	Choline trimethylamine-lyase
IFJHKHAP_02235	CDS	321	fryB	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
IFJHKHAP_02236	CDS	1080	manP		COG1299	PTS system mannose-specific EIIBCA component
IFJHKHAP_02237	CDS	2502	fryA		COG1080	Multiphosphoryl transfer protein 1
IFJHKHAP_02238	CDS	663	fsaB	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 2
IFJHKHAP_02239	CDS	1104	gldA_2	1.1.1.6	COG0371	Glycerol dehydrogenase
IFJHKHAP_02240	CDS	624				hypothetical protein
IFJHKHAP_02241	CDS	2181	katG	1.11.1.21	COG0376	Catalase-peroxidase
IFJHKHAP_02242	CDS	891	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
IFJHKHAP_02243	CDS	1557	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
IFJHKHAP_02244	CDS	1125				hypothetical protein
IFJHKHAP_02245	CDS	999				hypothetical protein
IFJHKHAP_02246	CDS	858	mscS_1		COG0668	Small-conductance mechanosensitive channel
IFJHKHAP_02247	CDS	2433	metL		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 2
IFJHKHAP_02248	CDS	1161	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
IFJHKHAP_02249	CDS	318	metJ		COG3060	Met repressor
IFJHKHAP_02250	CDS	1791	assT_4	2.8.2.22		Arylsulfate sulfotransferase AssT
IFJHKHAP_02251	CDS	663				hypothetical protein
IFJHKHAP_02252	CDS	213	rpmE		COG0254	50S ribosomal protein L31
IFJHKHAP_02253	CDS	2199	priA	3.6.4.-	COG1198	Primosomal protein N'
IFJHKHAP_02254	CDS	1026	cytR		COG1609	HTH-type transcriptional repressor CytR
IFJHKHAP_02255	CDS	882	ftsN		COG3087	Cell division protein FtsN
IFJHKHAP_02256	CDS	531	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
IFJHKHAP_02257	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
IFJHKHAP_02258	CDS	930	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
IFJHKHAP_02259	CDS	486	rraA		COG0684	Regulator of ribonuclease activity A
IFJHKHAP_02260	CDS	240	zapB		COG3074	Cell division protein ZapB
IFJHKHAP_02261	CDS	846	glpF		COG0580	Glycerol uptake facilitator protein
IFJHKHAP_02262	CDS	1509	glpK_2	2.7.1.30	COG0554	Glycerol kinase
IFJHKHAP_02263	CDS	1011	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
IFJHKHAP_02264	CDS	747	fpr	1.18.1.2	COG1018	Flavodoxin/ferredoxin--NADP reductase
IFJHKHAP_02265	CDS	429				hypothetical protein
IFJHKHAP_02266	CDS	597				hypothetical protein
IFJHKHAP_02267	CDS	768	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
IFJHKHAP_02268	CDS	765	lsrE	5.1.3.-	COG0036	Putative epimerase LsrE
IFJHKHAP_02269	CDS	330	lsrG	5.3.1.32	COG1359	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
IFJHKHAP_02270	CDS	876	lsrF	2.3.1.245	COG1830	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
IFJHKHAP_02271	CDS	1023	lsrB			Autoinducer 2-binding protein LsrB
IFJHKHAP_02272	CDS	999	lsrD			Autoinducer 2 import system permease protein LsrD
IFJHKHAP_02273	CDS	1044	lsrC		COG1172	Autoinducer 2 import system permease protein LsrC
IFJHKHAP_02274	CDS	1536	lsrA	3.6.3.-	COG1129	Autoinducer 2 import ATP-binding protein LsrA
IFJHKHAP_02275	CDS	960	lsrR		COG2390	Transcriptional regulator LsrR
IFJHKHAP_02276	CDS	1593	lsrK	2.7.1.189	COG1070	Autoinducer-2 kinase
IFJHKHAP_02277	CDS	351				hypothetical protein
IFJHKHAP_02278	CDS	165				hypothetical protein
IFJHKHAP_02279	CDS	723	mngR_2		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
IFJHKHAP_02280	CDS	1041				hypothetical protein
IFJHKHAP_02281	CDS	960	scrK	2.7.1.4	COG0524	Fructokinase
IFJHKHAP_02282	CDS	1335	yagG		COG2211	Putative glycoside/cation symporter YagG
IFJHKHAP_02283	CDS	756	cdh	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
IFJHKHAP_02284	CDS	990	sbp		COG1613	Sulfate-binding protein
IFJHKHAP_02285	CDS	963	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase isozyme 1
IFJHKHAP_02286	CDS	903	fieF		COG0053	Ferrous-iron efflux pump FieF
IFJHKHAP_02287	CDS	501	cpxP		COG3678	Periplasmic protein CpxP
IFJHKHAP_02288	CDS	699	cpxR		COG0745	Transcriptional regulatory protein CpxR
IFJHKHAP_02289	CDS	1374	cpxA	2.7.13.3		Sensor histidine kinase CpxA
IFJHKHAP_02290	CDS	396				hypothetical protein
IFJHKHAP_02291	CDS	690	yiiM		COG2258	Protein YiiM
IFJHKHAP_02292	CDS	621	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn]
IFJHKHAP_02293	CDS	984			COG1638	Solute-binding protein
IFJHKHAP_02294	CDS	516				hypothetical protein
IFJHKHAP_02295	CDS	1308	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
IFJHKHAP_02296	CDS	672	kdgM_2			Oligogalacturonate-specific porin KdgM
IFJHKHAP_02297	CDS	1035	rhaT		COG0697	L-rhamnose-proton symporter
IFJHKHAP_02298	CDS	849	rhaR_4			HTH-type transcriptional activator RhaR
IFJHKHAP_02299	CDS	489	rhaS_1			HTH-type transcriptional activator RhaS
IFJHKHAP_02300	CDS	1470	rhaB	2.7.1.5		Rhamnulokinase
IFJHKHAP_02301	CDS	1260	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
IFJHKHAP_02302	CDS	828	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
IFJHKHAP_02303	CDS	1149	mdh_3	1.1.1.244		NAD-dependent methanol dehydrogenase
IFJHKHAP_02304	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
IFJHKHAP_02305	CDS	549	sutR_1		COG1396	HTH-type transcriptional regulator SutR
IFJHKHAP_02306	CDS	660				hypothetical protein
IFJHKHAP_02307	CDS	324				hypothetical protein
IFJHKHAP_02308	CDS	1101				hypothetical protein
IFJHKHAP_02309	CDS	1032				hypothetical protein
IFJHKHAP_02310	CDS	837	fdhD		COG1526	Sulfur carrier protein FdhD
IFJHKHAP_02311	CDS	588	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
IFJHKHAP_02312	CDS	2415	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
IFJHKHAP_02313	CDS	903	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
IFJHKHAP_02314	CDS	636	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
IFJHKHAP_02315	CDS	930	fdhE		COG3058	Protein FdhE
IFJHKHAP_02316	CDS	291				hypothetical protein
IFJHKHAP_02317	CDS	312	higB-2		COG2026	Toxin HigB-2
IFJHKHAP_02318	CDS	930	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
IFJHKHAP_02319	CDS	312	higB	3.1.-.-	COG4680	mRNA interferase HigB
IFJHKHAP_02320	CDS	447	higA		COG5499	Antitoxin HigA
IFJHKHAP_02321	CDS	942				hypothetical protein
IFJHKHAP_02322	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
IFJHKHAP_02323	CDS	780				hypothetical protein
IFJHKHAP_02324	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
IFJHKHAP_02325	CDS	804	csqR		COG1349	HTH-type transcriptional repressor CsqR
IFJHKHAP_02326	CDS	897	yihV	2.7.1.184		Sulfofructose kinase
IFJHKHAP_02327	CDS	897	yihU	1.1.1.373	COG2084	3-sulfolactaldehyde reductase
IFJHKHAP_02328	CDS	879	yihT	4.1.2.57	COG3684	Sulfofructosephosphate aldolase
IFJHKHAP_02329	CDS	1242	yihS	5.3.1.31	COG2942	Sulfoquinovose isomerase
IFJHKHAP_02330	CDS	843	yihR		COG2017	putative protein YihR
IFJHKHAP_02331	CDS	2037	yihQ	3.2.1.199	COG1501	Sulfoquinovosidase
IFJHKHAP_02332	CDS	1383	yihP_1		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
IFJHKHAP_02333	CDS	1422	yihP_2		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
IFJHKHAP_02334	CDS	693	ompL			Porin OmpL
IFJHKHAP_02335	CDS	849				hypothetical protein
IFJHKHAP_02336	CDS	1026				hypothetical protein
IFJHKHAP_02337	CDS	876				hypothetical protein
IFJHKHAP_02338	CDS	1242	hemW_1		COG0635	Heme chaperone HemW
IFJHKHAP_02339	CDS	879				hypothetical protein
IFJHKHAP_02340	CDS	735	ybhA_1	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YbhA
IFJHKHAP_02341	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
IFJHKHAP_02342	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
IFJHKHAP_02343	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
IFJHKHAP_02344	CDS	1410	glnG		COG2204	DNA-binding transcriptional regulator NtrC
IFJHKHAP_02345	CDS	111	yshB			putative protein YshB
IFJHKHAP_02346	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
IFJHKHAP_02347	CDS	516	yihI		COG3078	Der GTPase-activating protein YihI
IFJHKHAP_02348	CDS	198				hypothetical protein
IFJHKHAP_02349	CDS	633	engB		COG0218	putative GTP-binding protein EngB
IFJHKHAP_02350	CDS	2787	polA	2.7.7.7	COG0258	DNA polymerase I
IFJHKHAP_02351	CDS	909	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
IFJHKHAP_02352	CDS	624	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
IFJHKHAP_02353	CDS	987	rdoA	2.7.11.1	COG2334	Serine/threonine protein kinase RdoA
IFJHKHAP_02354	CDS	270	yihD		COG3084	Protein YihD
IFJHKHAP_02355	CDS	585	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
IFJHKHAP_02356	CDS	531	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
IFJHKHAP_02357	rRNA	78				5S ribosomal RNA (partial)
IFJHKHAP_02358	rRNA	83				5S ribosomal RNA (partial)
IFJHKHAP_02359	tRNA	77				tRNA-Asp(gtc)
IFJHKHAP_02360	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
IFJHKHAP_02361	CDS	915	dmlR_4			HTH-type transcriptional regulator DmlR
IFJHKHAP_02362	CDS	1176	ydhP		COG2814	Inner membrane transport protein YdhP
IFJHKHAP_02363	CDS	801				hypothetical protein
IFJHKHAP_02364	CDS	771	ycgJ	2.1.1.-		putative methyltransferase YcgJ
IFJHKHAP_02365	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
IFJHKHAP_02366	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase
IFJHKHAP_02367	CDS	723				hypothetical protein
IFJHKHAP_02368	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
IFJHKHAP_02369	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
IFJHKHAP_02370	tRNA	77				tRNA-Asp(gtc)
IFJHKHAP_02371	CDS	1056				hypothetical protein
IFJHKHAP_02372	CDS	996				hypothetical protein
IFJHKHAP_02373	CDS	1884				hypothetical protein
IFJHKHAP_02374	CDS	495				hypothetical protein
IFJHKHAP_02375	CDS	825				hypothetical protein
IFJHKHAP_02376	CDS	903				hypothetical protein
IFJHKHAP_02377	CDS	2640	clpV1		COG0542	Protein ClpV1
IFJHKHAP_02378	CDS	543				hypothetical protein
IFJHKHAP_02379	CDS	1494				hypothetical protein
IFJHKHAP_02380	CDS	447				hypothetical protein
IFJHKHAP_02381	CDS	486	hcp1_1		COG3157	Protein hcp1
IFJHKHAP_02382	CDS	486				hypothetical protein
IFJHKHAP_02383	CDS	372				hypothetical protein
IFJHKHAP_02384	CDS	486	hcp1_2		COG3157	Protein hcp1
IFJHKHAP_02385	CDS	537				hypothetical protein
IFJHKHAP_02386	CDS	1344				hypothetical protein
IFJHKHAP_02387	CDS	1299	pal_2			Peptidoglycan-associated lipoprotein
IFJHKHAP_02388	CDS	774				hypothetical protein
IFJHKHAP_02389	CDS	357				hypothetical protein
IFJHKHAP_02390	CDS	3870				hypothetical protein
IFJHKHAP_02391	CDS	789				hypothetical protein
IFJHKHAP_02392	CDS	387				hypothetical protein
IFJHKHAP_02393	CDS	519				hypothetical protein
IFJHKHAP_02394	CDS	2190				hypothetical protein
IFJHKHAP_02395	CDS	447				hypothetical protein
IFJHKHAP_02396	CDS	4095	rhsB	3.1.-.-	COG3209	putative deoxyribonuclease RhsB
IFJHKHAP_02397	CDS	264				hypothetical protein
IFJHKHAP_02398	CDS	774				hypothetical protein
IFJHKHAP_02399	CDS	447				hypothetical protein
IFJHKHAP_02400	CDS	138				hypothetical protein
IFJHKHAP_02401	CDS	438				hypothetical protein
IFJHKHAP_02402	CDS	276	symE_2	3.1.-.-		Endoribonuclease SymE
IFJHKHAP_02403	CDS	252				hypothetical protein
IFJHKHAP_02404	CDS	159				hypothetical protein
IFJHKHAP_02405	CDS	198				hypothetical protein
IFJHKHAP_02406	CDS	282				IS3 family transposase IS1351
IFJHKHAP_02407	CDS	501				hypothetical protein
IFJHKHAP_02408	CDS	714	caf1M		COG3121	Chaperone protein caf1M
IFJHKHAP_02409	CDS	2511	caf1A		COG3188	F1 capsule-anchoring protein
IFJHKHAP_02410	CDS	471				hypothetical protein
IFJHKHAP_02411	CDS	822				hypothetical protein
IFJHKHAP_02412	CDS	612				hypothetical protein
IFJHKHAP_02413	CDS	948	dmlR_5			HTH-type transcriptional regulator DmlR
IFJHKHAP_02414	CDS	720	pagN		COG3637	Outer membrane protein PagN
IFJHKHAP_02415	CDS	408				hypothetical protein
IFJHKHAP_02416	CDS	768	yafV	3.5.1.3		Omega-amidase YafV
IFJHKHAP_02417	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
IFJHKHAP_02418	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
IFJHKHAP_02419	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
IFJHKHAP_02420	CDS	741				hypothetical protein
IFJHKHAP_02421	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
IFJHKHAP_02422	CDS	975	rtcB_2	6.5.1.-	COG1690	RNA-splicing ligase RtcB
IFJHKHAP_02423	CDS	162				hypothetical protein
IFJHKHAP_02424	CDS	615	prfB_1		COG1186	Peptide chain release factor RF2
IFJHKHAP_02425	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
IFJHKHAP_02426	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
IFJHKHAP_02427	CDS	1245				hypothetical protein
IFJHKHAP_02428	CDS	402	crl			Sigma factor-binding protein Crl
IFJHKHAP_02429	CDS	1053	phoE		COG3203	Outer membrane porin PhoE
IFJHKHAP_02430	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
IFJHKHAP_02431	CDS	1251	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
IFJHKHAP_02432	tRNA	76				tRNA-Thr(cgt)
IFJHKHAP_02433	CDS	1164	xerD_1			Tyrosine recombinase XerD
IFJHKHAP_02434	CDS	138				hypothetical protein
IFJHKHAP_02435	CDS	396				hypothetical protein
IFJHKHAP_02436	CDS	474				hypothetical protein
IFJHKHAP_02437	CDS	450				hypothetical protein
IFJHKHAP_02438	CDS	300				hypothetical protein
IFJHKHAP_02439	CDS	399				hypothetical protein
IFJHKHAP_02440	CDS	294				hypothetical protein
IFJHKHAP_02441	CDS	285				hypothetical protein
IFJHKHAP_02442	CDS	708				hypothetical protein
IFJHKHAP_02443	CDS	144				hypothetical protein
IFJHKHAP_02444	CDS	189				hypothetical protein
IFJHKHAP_02445	CDS	126				hypothetical protein
IFJHKHAP_02446	CDS	291				hypothetical protein
IFJHKHAP_02447	CDS	243				hypothetical protein
IFJHKHAP_02448	CDS	201				hypothetical protein
IFJHKHAP_02449	CDS	579				hypothetical protein
IFJHKHAP_02450	CDS	303				hypothetical protein
IFJHKHAP_02451	CDS	360			COG1974	putative HTH-type transcriptional regulator
IFJHKHAP_02452	CDS	186				hypothetical protein
IFJHKHAP_02453	CDS	279				hypothetical protein
IFJHKHAP_02454	CDS	147				hypothetical protein
IFJHKHAP_02455	CDS	816				hypothetical protein
IFJHKHAP_02456	CDS	1377	dnaB_2	3.6.4.12	COG0305	Replicative DNA helicase
IFJHKHAP_02457	CDS	438				hypothetical protein
IFJHKHAP_02458	CDS	333				hypothetical protein
IFJHKHAP_02459	CDS	177				hypothetical protein
IFJHKHAP_02460	CDS	612				hypothetical protein
IFJHKHAP_02461	CDS	225				hypothetical protein
IFJHKHAP_02462	CDS	204				hypothetical protein
IFJHKHAP_02463	CDS	180				hypothetical protein
IFJHKHAP_02464	CDS	624				hypothetical protein
IFJHKHAP_02465	CDS	519				hypothetical protein
IFJHKHAP_02466	CDS	327				hypothetical protein
IFJHKHAP_02467	CDS	438	rrrD	3.2.1.17	COG3772	Lysozyme RrrD
IFJHKHAP_02468	CDS	471				hypothetical protein
IFJHKHAP_02469	CDS	522				hypothetical protein
IFJHKHAP_02470	CDS	243				hypothetical protein
IFJHKHAP_02471	CDS	390				hypothetical protein
IFJHKHAP_02472	CDS	405				hypothetical protein
IFJHKHAP_02473	CDS	489				hypothetical protein
IFJHKHAP_02474	CDS	1500				hypothetical protein
IFJHKHAP_02475	CDS	2178				hypothetical protein
IFJHKHAP_02476	CDS	912				hypothetical protein
IFJHKHAP_02477	CDS	1293				hypothetical protein
IFJHKHAP_02478	CDS	210				hypothetical protein
IFJHKHAP_02479	CDS	501				hypothetical protein
IFJHKHAP_02480	CDS	1419				hypothetical protein
IFJHKHAP_02481	CDS	639				hypothetical protein
IFJHKHAP_02482	CDS	456				hypothetical protein
IFJHKHAP_02483	CDS	690				hypothetical protein
IFJHKHAP_02484	CDS	1416				hypothetical protein
IFJHKHAP_02485	CDS	1830				hypothetical protein
IFJHKHAP_02486	CDS	330				hypothetical protein
IFJHKHAP_02487	CDS	366				hypothetical protein
IFJHKHAP_02488	CDS	252				hypothetical protein
IFJHKHAP_02489	CDS	225				hypothetical protein
IFJHKHAP_02490	CDS	903				hypothetical protein
IFJHKHAP_02491	CDS	1968				hypothetical protein
IFJHKHAP_02492	CDS	1923				hypothetical protein
IFJHKHAP_02493	CDS	303				hypothetical protein
IFJHKHAP_02494	CDS	345	ddrA_1			Diol dehydratase-reactivating factor alpha subunit
IFJHKHAP_02495	CDS	417	ddrA_2			Diol dehydratase-reactivating factor alpha subunit
IFJHKHAP_02496	CDS	300				hypothetical protein
IFJHKHAP_02497	CDS	1233	ynfM_1			Inner membrane transport protein YnfM
IFJHKHAP_02498	CDS	1422	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
IFJHKHAP_02499	CDS	627	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
IFJHKHAP_02500	CDS	879				hypothetical protein
IFJHKHAP_02501	CDS	915	dehH1	3.8.1.3		Haloacetate dehalogenase H-1
IFJHKHAP_02502	CDS	522	dmlR_6			HTH-type transcriptional regulator DmlR
IFJHKHAP_02503	CDS	465	dmlR_7			HTH-type transcriptional regulator DmlR
IFJHKHAP_02504	CDS	273				hypothetical protein
IFJHKHAP_02505	CDS	399				hypothetical protein
IFJHKHAP_02506	CDS	759	fimC_1			Chaperone protein FimC
IFJHKHAP_02507	CDS	1326				hypothetical protein
IFJHKHAP_02508	CDS	2568	fimD_2		COG3188	Outer membrane usher protein FimD
IFJHKHAP_02509	CDS	762	yadV			putative fimbrial chaperone YadV
IFJHKHAP_02510	CDS	537	sfaA			S-fimbrial protein subunit SfaA
IFJHKHAP_02511	CDS	735				hypothetical protein
IFJHKHAP_02512	CDS	501				hypothetical protein
IFJHKHAP_02513	CDS	1575	pdeN_1	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
IFJHKHAP_02514	CDS	744				hypothetical protein
IFJHKHAP_02515	CDS	489				hypothetical protein
IFJHKHAP_02516	CDS	198				hypothetical protein
IFJHKHAP_02517	CDS	333	ompX_1		COG3637	Outer membrane protein X
IFJHKHAP_02518	CDS	525				hypothetical protein
IFJHKHAP_02519	CDS	360				hypothetical protein
IFJHKHAP_02520	CDS	1458	oprM		COG1538	Outer membrane protein OprM
IFJHKHAP_02521	CDS	3168	oqxB7			multidrug efflux RND transporter permease subunit OqxB7
IFJHKHAP_02522	CDS	1227	bepF			Efflux pump periplasmic linker BepF
IFJHKHAP_02523	CDS	2289	actP_2	7.2.2.9		Copper-transporting P-type ATPase
IFJHKHAP_02524	CDS	465	hmrR_2			HTH-type transcriptional regulator HmrR
IFJHKHAP_02525	CDS	195				hypothetical protein
IFJHKHAP_02526	CDS	1254	yjhB_2			Putative metabolite transport protein YjhB
IFJHKHAP_02527	CDS	1959				hypothetical protein
IFJHKHAP_02528	CDS	2973				hypothetical protein
IFJHKHAP_02529	CDS	102				hypothetical protein
IFJHKHAP_02530	CDS	1404				hypothetical protein
IFJHKHAP_02531	CDS	1011	appB_1	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
IFJHKHAP_02532	CDS	132				hypothetical protein
IFJHKHAP_02533	CDS	1005	rhaR_5			HTH-type transcriptional activator RhaR
IFJHKHAP_02534	CDS	2091	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
IFJHKHAP_02535	CDS	633	rhtC_2		COG1280	Threonine efflux protein
IFJHKHAP_02536	CDS	276				hypothetical protein
IFJHKHAP_02537	CDS	1626	prpR		COG1221	Propionate catabolism operon regulatory protein
IFJHKHAP_02538	CDS	888	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
IFJHKHAP_02539	CDS	1170	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
IFJHKHAP_02540	CDS	1452	prpD	4.2.1.79	COG2079	2-methylcitrate dehydratase
IFJHKHAP_02541	CDS	1887	acs_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
IFJHKHAP_02542	CDS	975	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
IFJHKHAP_02543	CDS	2937				hypothetical protein
IFJHKHAP_02544	CDS	624	iprA_3			Inhibitor of hydrogen peroxide resistance
IFJHKHAP_02545	CDS	1158	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
IFJHKHAP_02546	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
IFJHKHAP_02547	CDS	1095				hypothetical protein
IFJHKHAP_02548	CDS	309	yaiY			Inner membrane protein YaiY
IFJHKHAP_02549	CDS	216				hypothetical protein
IFJHKHAP_02550	CDS	1113	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
IFJHKHAP_02551	CDS	684				hypothetical protein
IFJHKHAP_02552	CDS	1212	sbnD_2			Staphyloferrin B transporter
IFJHKHAP_02553	CDS	261	iraP			Anti-adapter protein IraP
IFJHKHAP_02554	CDS	321	psiF			Phosphate starvation-inducible protein PsiF
IFJHKHAP_02555	CDS	1113	dgcC	2.7.7.65		putative diguanylate cyclase DgcC
IFJHKHAP_02556	CDS	810	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
IFJHKHAP_02557	CDS	456				hypothetical protein
IFJHKHAP_02558	CDS	546	aroL	2.7.1.71	COG0703	Shikimate kinase 2
IFJHKHAP_02559	CDS	192	yaiA			putative protein YaiA
IFJHKHAP_02560	CDS	678				hypothetical protein
IFJHKHAP_02561	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
IFJHKHAP_02562	CDS	912	rdgC		COG2974	Recombination-associated protein RdgC
IFJHKHAP_02563	CDS	909	mak	2.7.1.4	COG1940	Fructokinase
IFJHKHAP_02564	CDS	1173	araJ		COG2814	Putative transporter AraJ
IFJHKHAP_02565	CDS	3141	sbcC		COG0419	Nuclease SbcCD subunit C
IFJHKHAP_02566	CDS	1203	sbcD		COG0420	Nuclease SbcCD subunit D
IFJHKHAP_02567	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
IFJHKHAP_02568	CDS	1296	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
